Cutoff,Predicted,Correct,Incorrect,FP,TN,FN,Precision,Recall,FPR,Alert_Yield,Lift,Exposure_Correct,Cost_Unlock_Incorrect,Cost_Check_Incorrect,Revenue_Correct
0.99,0.0,0.0,0.0,0.0,95415.0,1428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97,0.0,0.0,0.0,0.0,95415.0,1428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9500000000000001,0.0,0.0,0.0,0.0,95415.0,1428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.93,1.0,1.0,0.0,0.0,95415.0,1427.0,1.0,0.0007002801120448179,0.0,1.0325991553338909e-05,67.8172268907563,4.275304112391783,0.0,0.0,4.275304112391783
0.91,4.0,4.0,0.0,0.0,95415.0,1424.0,1.0,0.0028011204481792717,0.0,4.1303966213355636e-05,67.8172268907563,17.101216449567133,0.0,0.0,17.101216449567133
0.89,6.0,6.0,0.0,0.0,95415.0,1422.0,1.0,0.004201680672268907,0.0,6.195594932003346e-05,67.8172268907563,25.6518246743507,0.0,0.0,25.6518246743507
0.87,6.0,6.0,0.0,0.0,95415.0,1422.0,1.0,0.004201680672268907,0.0,6.195594932003346e-05,67.8172268907563,25.6518246743507,0.0,0.0,25.6518246743507
0.85,9.0,9.0,0.0,0.0,95415.0,1419.0,1.0,0.0063025210084033615,0.0,9.293392398005019e-05,67.8172268907563,38.477737011526045,0.0,0.0,38.477737011526045
0.8300000000000001,9.0,9.0,0.0,0.0,95415.0,1419.0,1.0,0.0063025210084033615,0.0,9.293392398005019e-05,67.8172268907563,38.477737011526045,0.0,0.0,38.477737011526045
0.81,10.0,10.0,0.0,0.0,95415.0,1418.0,1.0,0.0070028011204481795,0.0,0.0001032599155333891,67.8172268907563,42.75304112391783,0.0,0.0,42.75304112391783
0.79,13.0,11.0,2.0,2.0,95413.0,1417.0,0.8461538461538461,0.007703081232492998,2.0961064822092963e-05,0.00013423789019340583,57.38380736910149,47.02834523630962,13333.333333333334,3333.3333333333335,47.02834523630962
0.77,16.0,13.0,3.0,3.0,95412.0,1415.0,0.8125,0.009103641456582634,3.144159723313944e-05,0.00016521586485342254,55.101496848739494,55.57895346109318,20000.0,5000.0,55.57895346109318
0.75,19.0,14.0,5.0,5.0,95410.0,1414.0,0.7368421052631579,0.00980392156862745,5.2402662055232405e-05,0.00019619383951343929,49.970588235294116,59.854257573484965,33333.333333333336,8333.333333333334,59.854257573484965
0.73,23.0,16.0,7.0,7.0,95408.0,1412.0,0.6956521739130435,0.011204481792717087,7.336372687732537e-05,0.00023749780572679491,47.17720131530873,68.40486579826853,46666.66666666667,11666.666666666668,68.40486579826853
0.7100000000000001,28.0,20.0,8.0,8.0,95407.0,1408.0,0.7142857142857143,0.014005602240896359,8.384425928837185e-05,0.0002891277634934895,48.440876350540215,85.50608224783566,53333.333333333336,13333.333333333334,85.50608224783566
0.6900000000000001,31.0,23.0,8.0,8.0,95407.0,1405.0,0.7419354838709677,0.01610644257703081,8.384425928837185e-05,0.0003201057381535062,50.316007047980484,98.33199458501102,53333.333333333336,13333.333333333334,98.33199458501102
0.67,36.0,27.0,9.0,9.0,95406.0,1401.0,0.75,0.018907563025210083,9.432479169941833e-05,0.00037173569592020074,50.86292016806723,115.43321103457815,60000.0,15000.0,115.43321103457815
0.65,41.0,29.0,12.0,12.0,95403.0,1399.0,0.7073170731707317,0.02030812324929972,0.00012576638893255777,0.0004233656536868953,47.968282434925186,123.98381925936171,80000.0,20000.0,123.98381925936171
0.63,55.0,32.0,23.0,23.0,95392.0,1396.0,0.5818181818181818,0.022408963585434174,0.00024105224545406908,0.00056792953543364,39.45729564553094,136.80973159653706,153333.33333333334,38333.333333333336,136.80973159653706
0.61,59.0,33.0,26.0,26.0,95389.0,1395.0,0.559322033898305,0.023109243697478993,0.0002724938426872085,0.0006092335016469957,37.931669277880644,141.08503570892884,173333.33333333334,43333.333333333336,141.08503570892884
0.59,70.0,42.0,28.0,28.0,95387.0,1386.0,0.6,0.029411764705882353,0.0002934549075093015,0.0007228194087337236,40.69033613445378,179.5627727204549,186666.6666666667,46666.66666666667,179.5627727204549
0.5700000000000001,79.0,45.0,34.0,34.0,95381.0,1383.0,0.569620253164557,0.031512605042016806,0.00035633810197558037,0.0008157533327137739,38.63006595043081,192.38868505763025,226666.6666666667,56666.66666666667,192.38868505763025
0.55,93.0,53.00000000000001,39.99999999999999,39.99999999999999,95375.0,1375.0,0.5698924731182796,0.03711484593837535,0.0004192212964418592,0.0009603172144605186,38.6485271527966,226.59111795676455,266666.6666666666,66666.66666666666,226.59111795676455
0.53,101.0,56.99999999999999,44.00000000000001,44.00000000000001,95371.0,1371.0,0.5643564356435643,0.03991596638655462,0.00046114342608604526,0.00104292514688723,38.27308844329811,243.6923344063316,293333.3333333334,73333.33333333334,243.6923344063316
0.51,119.0,65.0,54.0,54.0,95361.0,1363.0,0.5462184873949579,0.04551820728291316,0.00056594875019651,0.0012287929948473302,37.043023091589575,277.8947673054659,360000.0,90000.0,277.8947673054659
0.49,134.0,70.0,64.0,64.0,95351.0,1358.0,0.5223880597014925,0.049019607843137254,0.0006707540743069748,0.0013836828681474138,35.42690956979806,299.2712878674248,426666.6666666667,106666.66666666667,299.2712878674248
0.47000000000000003,152.0,78.0,74.0,74.0,95341.0,1350.0,0.5131578947368421,0.0546218487394958,0.0007755593984174397,0.0015695507161075143,34.80094537815126,333.4737207665591,493333.3333333334,123333.33333333334,333.4737207665591
0.45,182.0,88.0,94.0,94.0,95321.0,1340.0,0.4835164835164835,0.06162464985994398,0.0009851700466383692,0.0018793304627076814,32.790747068057996,376.22676189047695,626666.6666666667,156666.6666666667,376.22676189047695
0.43,203.0,95.0,108.0,108.0,95307.0,1333.0,0.46798029556650245,0.0665266106442577,0.00113189750039302,0.0020961762853277987,31.737125884836694,406.1538906772194,720000.0,180000.0,406.1538906772194
0.41000000000000003,230.0,106.0,124.0,124.0,95291.0,1322.0,0.4608695652173913,0.0742296918767507,0.0012995860189697636,0.0023749780572679493,31.254895871392037,453.18223591352904,826666.6666666667,206666.6666666667,453.18223591352904
0.39,273.0,122.0,151.0,151.0,95264.0,1306.0,0.4468864468864469,0.08543417366946779,0.0015825603940680187,0.002818995694061522,30.306599562902086,521.5871017117976,1006666.6666666667,251666.6666666667,521.5871017117976
0.37,309.0,133.0,176.0,176.0,95239.0,1295.0,0.43042071197411,0.09313725490196079,0.0018445737043441806,0.003190731389981723,29.18993908242909,568.6154469481072,1173333.3333333335,293333.3333333334,568.6154469481072
0.35000000000000003,346.0,144.0,202.0,202.0,95213.0,1284.0,0.4161849710982659,0.10084033613445378,0.002117067547031389,0.0035727930774552626,28.224510613493955,615.6437921844167,1346666.6666666667,336666.6666666667,615.6437921844167
0.33,387.0,163.0,224.0,224.0,95191.0,1265.0,0.42118863049095606,0.11414565826330532,0.002347639260074412,0.003996158731142158,28.563844917812087,696.8745703198607,1493333.3333333335,373333.3333333334,696.8745703198607
0.31,440.0,179.0,261.0,261.0,95154.0,1249.0,0.4068181818181818,0.1253501400560224,0.0027354189592831315,0.00454343628346912,27.589280939648585,765.2794361181292,1740000.0,435000.0,765.2794361181292
0.29000000000000004,494.0,189.0,305.0,305.0,95110.0,1239.0,0.3825910931174089,0.1323529411764706,0.0031965623853691767,0.0051010398273494215,25.94626696832579,808.032477242047,2033333.3333333335,508333.3333333334,808.032477242047
0.27,572.0,206.0,366.0,366.0,95049.0,1222.0,0.36013986013986016,0.14425770308123248,0.003835874862443012,0.0059064671685098566,24.423686607510138,880.7126471527073,2440000.0,610000.0,880.7126471527073
0.25,656.0,232.0,424.0,424.0,94991.0,1196.0,0.35365853658536583,0.16246498599439776,0.004443745742283708,0.006773850458990325,23.984141217462593,991.8705540748937,2826666.666666667,706666.6666666667,991.8705540748937
0.23,770.0,267.0,503.0,503.0,94912.0,1161.0,0.34675324675324676,0.1869747899159664,0.00527170780275638,0.00795101349607096,23.51584361017134,1141.5061980086061,3353333.3333333335,838333.3333333334,1141.5061980086061
0.21000000000000002,880.0,295.0,585.0,585.0,94830.0,1133.0,0.3352272727272727,0.20658263305322128,0.006131111460462192,0.00908687256693824,22.734184014514895,1261.214713155576,3900000.0,975000.0,1261.214713155576
0.19,1036.0,324.0,712.0,712.0,94703.0,1104.0,0.3127413127413127,0.226890756302521,0.007462139076665095,0.01069772724925911,21.20924856429058,1385.1985324149377,4746666.666666667,1186666.6666666667,1385.1985324149377
0.17,1230.0,363.0,867.0,867.0,94548.0,1065.0,0.2951219512195122,0.2542016806722689,0.0090866216003773,0.012700969610606858,20.014352326296372,1551.9353927982172,5780000.0,1445000.0,1551.9353927982172
0.15000000000000002,1487.0,415.0,1072.0,1072.0,94343.0,1013.0,0.27908540685944855,0.29061624649859946,0.011235130744641829,0.015354749439814958,18.92679835888626,1774.25120664259,7146666.666666667,1786666.6666666667,1774.25120664259
0.13,1761.0,457.99999999999994,1303.0,1303.0,94112.0,970.0,0.26007950028392957,0.32072829131652664,0.013656133731593564,0.01818407112542982,17.63787048038977,1958.0892834754366,8686666.666666668,2171666.666666667,1958.0892834754366
0.11,2168.0,519.0,1649.0,1649.0,93766.0,909.0,0.23939114391143912,0.3634453781512605,0.017282397945815646,0.022386749687638756,16.23484352227976,2218.8828343313353,10993333.333333334,2748333.3333333335,2218.8828343313353
0.09,2710.0,588.0,2122.0,2122.0,93293.0,840.0,0.21697416974169742,0.4117647058823529,0.022239689776240634,0.027983437109548443,14.714586498806165,2513.8788180863685,14146666.666666668,3536666.666666667,2513.8788180863685
0.06999999999999999,3549.0,676.0,2873.0,2873.0,92542.0,752.0,0.19047619047619047,0.4733893557422969,0.03011056961693654,0.03664694402279979,12.917567026810724,2890.1055799768455,19153333.333333336,4788333.333333334,2890.1055799768455
